Shards,ERC20TPS,AirDropTPS,VotingTPS,KittyBreedTPS,MillionPixelTPS,KVTPS,ENSTPS,EVMERC20TPS,EVMAirDropTPS,EVMVotingTPS,EVMKittyBreedTPS,EVMMillionPixelTPS,EVMKVTPS,EVMENSTPS
1,35149,11682,32383,2951,51440,36628,21218,81300,28089,42354,4842,119331,83108,29004
2,68681,21786,64143,5652,102145,72343,40768,,,,,,,
4,133868,43478,127226,10729,197628,140307,79467,,,,,,,
8,253164,83333,259067,20747,378787,250338,146871,,,,,,,
16,531914,156250,510204,35842,746268,476969,256773,,,,,,,
32,1010101,294117,1052632,60606,1428571,959774,461036,,,,,,,
64,1612903,476190,1818183,89286,2439024,1682402,663078,,,,,,,
